File, Suite, Query name, Query ID, Kind, Severity, Precision
github/codeql/cpp/ql/src/Security/CWE/CWE-468/SuspiciousAddWithSizeof.ql, code-scanning, Suspicious add with sizeof, cpp/suspicious-add-sizeof, problem, warning, high
github/codeql/cpp/ql/src/Security/CWE/CWE-253/HResultBooleanConversion.ql, code-scanning, Cast between HRESULT and a Boolean type, cpp/hresult-boolean-conversion, problem, error, high
github/codeql/cpp/ql/src/Security/CWE/CWE-327/OpenSslHeartbleed.ql, code-scanning, Use of a version of OpenSSL with Heartbleed, cpp/openssl-heartbleed, problem, error, very-high
github/codeql/cpp/ql/src/Security/CWE/CWE-732/UnsafeDaclSecurityDescriptor.ql, code-scanning, Setting a DACL to NULL in a SECURITY_DESCRIPTOR, cpp/unsafe-dacl-security-descriptor, problem, error, high
github/codeql/cpp/ql/src/Security/CWE/CWE-190/TaintedAllocationSize.ql, code-scanning, Overflow in uncontrolled allocation size, cpp/uncontrolled-allocation-size, path-problem, error, high
github/codeql/cpp/ql/src/Security/CWE/CWE-190/ComparisonWithWiderType.ql, code-scanning, Comparison of narrow type with wide type in loop condition, cpp/comparison-with-wider-type, problem, warning, high
github/codeql/cpp/ql/src/Security/CWE/CWE-704/WcharCharConversion.ql, code-scanning, Cast from char* to wchar_t*, cpp/incorrect-string-type-conversion, problem, error, high
github/codeql/cpp/ql/src/Security/CWE/CWE-131/NoSpaceForZeroTerminator.ql, code-scanning, No space for zero terminator, cpp/no-space-for-terminator, problem, error, high
github/codeql/cpp/ql/src/Security/CWE/CWE-089/SqlTainted.ql, code-scanning, Uncontrolled data in SQL query, cpp/sql-injection, path-problem, error, high
github/codeql/cpp/ql/src/Security/CWE/CWE-676/DangerousUseOfCin.ql, code-scanning, Dangerous use of 'cin', cpp/dangerous-cin, problem, error, high
github/codeql/cpp/ql/src/Security/CWE/CWE-676/DangerousFunctionOverflow.ql, code-scanning, Use of dangerous function, cpp/dangerous-function-overflow, problem, error, very-high
github/codeql/cpp/ql/src/Security/CWE/CWE-676/PotentiallyDangerousFunction.ql, code-scanning, Use of potentially dangerous function, cpp/potentially-dangerous-function, problem, warning, high
github/codeql/cpp/ql/src/Security/CWE/CWE-120/BadlyBoundedWrite.ql, code-scanning, Badly bounded write, cpp/badly-bounded-write, problem, error, high
github/codeql/cpp/ql/src/Security/CWE/CWE-079/CgiXss.ql, code-scanning, CGI script vulnerable to cross-site scripting, cpp/cgi-xss, path-problem, error, high
github/codeql/cpp/ql/src/Critical/NewFreeMismatch.ql, code-scanning, Mismatching new/free or malloc/delete, cpp/new-free-mismatch, problem, warning, high
github/codeql/cpp/ql/src/Likely Bugs/Underspecified Functions/TooFewArguments.ql, code-scanning, Call to function with fewer arguments than declared parameters, cpp/too-few-arguments, problem, error, very-high
github/codeql/cpp/ql/src/Likely Bugs/Conversion/CastArrayPointerArithmetic.ql, code-scanning, Upcast array used in pointer arithmetic, cpp/upcast-array-pointer-arithmetic, path-problem, warning, high
github/codeql/cpp/ql/src/Likely Bugs/Memory Management/PointerOverflow.ql, code-scanning, Pointer overflow check, cpp/pointer-overflow-check, problem, error, high
github/codeql/cpp/ql/src/Likely Bugs/Memory Management/AllocaInLoop.ql, code-scanning, Call to alloca in a loop, cpp/alloca-in-loop, problem, warning, high
github/codeql/cpp/ql/src/Likely Bugs/Arithmetic/IntMultToLong.ql, code-scanning, Multiplication result converted to larger type, cpp/integer-multiplication-cast-to-long, problem, warning, high
github/codeql/cpp/ql/src/Likely Bugs/Arithmetic/SignedOverflowCheck.ql, code-scanning, Signed overflow check, cpp/signed-overflow-check, problem, warning, high
github/codeql/cpp/ql/src/Likely Bugs/Arithmetic/BadAdditionOverflowCheck.ql, code-scanning, Bad check for overflow of integer addition, cpp/bad-addition-overflow-check, problem, error, very-high
github/codeql/cpp/ql/src/Likely Bugs/Format/WrongNumberOfFormatArguments.ql, code-scanning, Too few arguments to formatting function, cpp/wrong-number-format-arguments, problem, error, high
github/codeql/cpp/ql/src/Likely Bugs/Format/SnprintfOverflow.ql, code-scanning, Potentially overflowing call to snprintf, cpp/overflowing-snprintf, problem, warning, high
github/codeql/cpp/ql/src/Likely Bugs/Format/WrongTypeFormatArguments.ql, code-scanning, Wrong type of arguments to formatting function, cpp/wrong-type-format-argument, problem, error, high
github/codeql/java/ql/src/experimental/Security/CWE/CWE-094/ScriptEngine.ql, code-scanning, ScriptEngine evaluation, java/unsafe-eval, path-problem, error, high
github/codeql/java/ql/src/experimental/Security/CWE/CWE-074/JndiInjection.ql, code-scanning, JNDI lookup with user-controlled name, java/jndi-injection, path-problem, error, high
github/codeql/java/ql/src/experimental/Security/CWE/CWE-016/SpringBootActuators.ql, code-scanning, Exposed Spring Boot actuators, java/spring-boot-exposed-actuators, problem, error, high
github/codeql/java/ql/src/experimental/Security/CWE/CWE-643/XPathInjection.ql, code-scanning, XPath injection, java/xml/xpath-injection, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-209/StackTraceExposure.ql, code-scanning, Information exposure through a stack trace, java/stack-trace-exposure, problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-807/TaintedPermissionsCheck.ql, code-scanning, User-controlled data used in permissions check, java/tainted-permissions-check, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-601/UrlRedirect.ql, code-scanning, URL redirection from remote source, java/unvalidated-url-redirection, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-113/NettyResponseSplitting.ql, code-scanning, Disabled Netty HTTP header validation, java/netty-http-response-splitting, problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-113/ResponseSplitting.ql, code-scanning, HTTP response splitting, java/http-response-splitting, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-732/ReadingFromWorldWritableFile.ql, code-scanning, Reading from a world writable file, java/world-writable-file-read, problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-335/PredictableSeed.ql, code-scanning, Use of a predictable seed in a secure random number generator, java/predictable-seed, problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-614/InsecureCookie.ql, code-scanning, Failure to use secure cookies, java/insecure-cookie, problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-089/SqlTainted.ql, code-scanning, Query built from user-controlled sources, java/sql-injection, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-089/SqlUnescaped.ql, code-scanning, Query built without neutralizing special characters, java/concatenated-sql-query, problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-090/LdapInjection.ql, code-scanning, LDAP query built from user-controlled sources, java/ldap-injection, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-312/CleartextStorageCookie.ql, code-scanning, Cleartext storage of sensitive information in cookie, java/cleartext-storage-in-cookie, problem, error, high
